,Cluster,Companies
0,0,14997
1,0,326
2,0,1453
3,0,16580
4,0,14745
5,0,473
6,0,184
7,0,11895
8,0,7920
9,0,461
10,0,12020
11,0,11248
12,0,14047
13,0,2694
14,0,12127
15,0,12181
16,0,11304
17,0,16157
18,0,1368
19,0,9324
20,1,35791
21,1,35511
22,1,605
23,1,2741
24,1,12371
25,1,35563
26,1,12360
27,1,612
28,1,2171
29,1,12306
30,1,596
31,1,2175
32,1,12223
33,1,12249
34,1,12305
35,1,35696
36,1,35757
37,1,35697
38,1,2643
39,1,12289
40,1,35751
41,1,2715
42,1,3252
43,1,12407
44,1,13225
45,1,13259
46,1,13282
47,1,13284
48,1,35062
49,1,13291
50,1,2070
51,1,13292
52,1,35056
53,1,35054
54,1,35053
55,1,13369
56,1,35014
57,1,2029
58,1,13337
59,1,12404
60,1,35106
61,1,35107
62,1,35442
63,1,12573
64,1,35433
65,1,35372
66,1,35370
67,1,12786
68,1,1216
69,1,12812
70,1,35258
71,1,12912
72,1,12972
73,1,2095
74,1,12981
75,1,2088
76,1,12813
77,1,35842
78,1,12129
79,1,35845
80,1,4931
81,1,11572
82,1,4986
83,1,36560
84,1,476
85,1,36563
86,1,11571
87,1,5003
88,1,36594
89,1,36596
90,1,36636
91,1,5159
92,1,36640
93,1,464
94,1,4908
95,1,36641
96,1,36646
97,1,36647
98,1,36649
99,1,36651
100,1,36652
101,1,36653
102,1,11524
103,1,5185
104,1,5264
105,1,36664
106,1,36665
107,1,11434
108,1,36668
109,1,5357
110,1,36645
111,1,35843
112,1,493
113,1,11672
114,1,35846
115,1,12180
116,1,12177
117,1,35012
118,1,12077
119,1,35885
120,1,569
121,1,567
122,1,35970
123,1,36000
124,1,4347
125,1,4499
126,1,4506
127,1,36049
128,1,11653
129,1,11906
130,1,4602
131,1,36131
132,1,36178
133,1,4771
134,1,11783
135,1,36222
136,1,36223
137,1,36224
138,1,36226
139,1,36227
140,1,36300
141,1,4875
142,1,36411
143,1,4877
144,1,4581
145,1,13661
146,1,2006
147,1,34997
148,1,16745
149,1,16716
150,1,34336
151,1,1469
152,1,1702
153,1,16668
154,1,34342
155,1,16647
156,1,1455
157,1,34343
158,1,16597
159,1,16596
160,1,34406
161,1,16567
162,1,16764
163,1,16566
164,1,1752
165,1,1754
166,1,16504
167,1,16503
168,1,16502
169,1,16500
170,1,16376
171,1,34595
172,1,1774
173,1,1411
174,1,16375
175,1,1782
176,1,16183
177,1,16163
178,1,1741
179,1,16161
180,1,1683
181,1,1491
182,1,1584
183,1,1598
184,1,17240
185,1,17239
186,1,17092
187,1,17077
188,1,17594
189,1,1616
190,1,17032
191,1,17656
192,1,1548
193,1,17749
194,1,17750
195,1,1633
196,1,1680
197,1,16969
198,1,18426
199,1,18457
200,1,18458
201,1,18551
202,1,1649
203,1,18553
204,1,16958
205,1,18677
206,1,16894
207,1,18754
208,1,18815
209,1,16888
210,1,34320
211,1,1495
212,1,18287
213,1,16160
214,1,16121
215,1,1391
216,1,1327
217,1,14825
218,1,34875
219,1,14782
220,1,1928
221,1,1320
222,1,14697
223,1,1943
224,1,34889
225,1,34893
226,1,1302
227,1,1955
228,1,34937
229,1,1961
230,1,14827
231,1,14160
232,1,1290
233,1,34943
234,1,14060
235,1,1985
236,1,14037
237,1,13990
238,1,34952
239,1,13944
240,1,34957
241,1,1999
242,1,2004
243,1,5481
244,1,13832
245,1,13829
246,1,1972
247,1,34849
248,1,15002
249,1,15013
250,1,16117
251,1,16014
252,1,16013
253,1,34703
254,1,1381
255,1,15986
256,1,1855
257,1,34740
258,1,34743
259,1,15937
260,1,34750
261,1,34763
262,1,34764
263,1,15906
264,1,15799
265,1,15784
266,1,34799
267,1,15050
268,1,34845
269,1,1895
270,1,15067
271,1,15120
272,1,15121
273,1,35004
274,1,15122
275,1,34835
276,1,1885
277,1,15124
278,1,15273
279,1,1359
280,1,15692
281,1,34836
282,1,5483
283,1,17474
284,1,48139
285,1,324
286,1,51700
287,1,42218
288,1,9185
289,1,10034
290,1,10036
291,1,42220
292,1,10704
293,1,10701
294,1,6581
295,1,6583
296,1,42385
297,1,51691
298,1,51690
299,1,51678
300,1,10040
301,1,9080
302,1,42386
303,1,42387
304,1,51257
305,1,6598
306,1,51254
307,1,43083
308,1,42217
309,1,51253
310,1,42216
311,1,10779
312,1,61440
313,1,111
314,1,347
315,1,6338
316,1,10817
317,1,61439
318,1,9319
319,1,9995
320,1,61432
321,1,9310
322,1,41928
323,1,6374
324,1,9307
325,1,9296
326,1,249
327,1,10781
328,1,9998
329,1,9999
330,1,10000
331,1,51705
332,1,51703
333,1,42215
334,1,9225
335,1,10734
336,1,51252
337,1,43088
338,1,51251
